entity_id,ip,geo_country,asn,asn_org
,10.20.0.60,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.61,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.0.62,ES,64556,Synthetic ES Transit Cooperative 1
,10.20.0.63,MY,64576,Synthetic MY Transit Cooperative 1
,10.20.0.64,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.0.65,TH,64590,Synthetic TH Transit Cooperative 1
,10.20.0.66,AT,64541,Synthetic AT Transit Cooperative 2
,10.20.0.67,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.0.68,TH,64590,Synthetic TH Transit Cooperative 1
,10.20.0.69,US,64533,Synthetic US Transit Cooperative 2
,10.20.0.70,IL,64569,Synthetic IL Transit Cooperative 2
,10.20.0.71,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.0.72,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.0.73,ZA,64534,Synthetic ZA Transit Cooperative 1
,10.20.0.74,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.0.75,ES,64557,Synthetic ES Transit Cooperative 2
,10.20.0.76,NZ,64581,Synthetic NZ Transit Cooperative 2
,10.20.0.77,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.0.78,MY,64577,Synthetic MY Transit Cooperative 2
,10.20.0.79,PT,64585,Synthetic PT Transit Cooperative 2
,10.20.0.80,IL,64569,Synthetic IL Transit Cooperative 2
,10.20.0.81,CZ,64553,Synthetic CZ Transit Cooperative 2
,10.20.0.82,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.0.83,VN,64597,Synthetic VN Transit Cooperative 2
,10.20.0.84,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.85,CH,64544,Synthetic CH Transit Cooperative 1
,10.20.0.86,NO,64578,Synthetic NO Transit Cooperative 1
,10.20.0.87,IN,64525,Synthetic IN Transit Cooperative 2
,10.20.0.88,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.89,IT,64570,Synthetic IT Transit Cooperative 1
,10.20.0.90,CN,64549,Synthetic CN Transit Cooperative 2
,10.20.0.91,NG,64601,Synthetic NG Transit Cooperative 2
,10.20.0.92,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.0.93,CA,64516,Synthetic CA Transit Cooperative 1
,10.20.0.94,ZA,64534,Synthetic ZA Transit Cooperative 1
,10.20.0.95,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.0.96,AE,64536,Synthetic AE Transit Cooperative 1
,10.20.0.97,PT,64585,Synthetic PT Transit Cooperative 2
,10.20.0.98,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.0.99,ZA,64534,Synthetic ZA Transit Cooperative 1
,10.20.0.100,HK,64562,Synthetic HK Transit Cooperative 1
,10.20.0.101,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.0.102,CO,64551,Synthetic CO Transit Cooperative 2
,10.20.0.103,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.0.104,RO,64587,Synthetic RO Transit Cooperative 2
,10.20.0.105,ZA,64535,Synthetic ZA Transit Cooperative 2
,10.20.0.106,AE,64537,Synthetic AE Transit Cooperative 2
,10.20.0.107,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.0.108,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.0.109,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.110,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.0.111,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.112,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.113,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.0.114,MY,64577,Synthetic MY Transit Cooperative 2
,10.20.0.115,BR,64515,Synthetic BR Transit Cooperative 2
,10.20.0.116,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.117,FR,64521,Synthetic FR Transit Cooperative 2
,10.20.0.118,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.0.119,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.0.120,CA,64517,Synthetic CA Transit Cooperative 2
,10.20.0.121,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.0.122,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.0.123,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.0.124,KR,64572,Synthetic KR Transit Cooperative 1
,10.20.0.125,MY,64577,Synthetic MY Transit Cooperative 2
,10.20.0.126,CH,64545,Synthetic CH Transit Cooperative 2
,10.20.0.127,TH,64590,Synthetic TH Transit Cooperative 1
,10.20.0.128,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.129,ID,64565,Synthetic ID Transit Cooperative 2
,10.20.0.130,IL,64568,Synthetic IL Transit Cooperative 1
,10.20.0.131,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.0.132,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.0.133,JP,64526,Synthetic JP Transit Cooperative 1
,10.20.0.134,CZ,64552,Synthetic CZ Transit Cooperative 1
,10.20.0.135,ES,64557,Synthetic ES Transit Cooperative 2
,10.20.0.136,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.137,GR,64561,Synthetic GR Transit Cooperative 2
,10.20.0.138,KR,64572,Synthetic KR Transit Cooperative 1
,10.20.0.139,AU,64512,Synthetic AU Transit Cooperative 1
,10.20.0.140,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.0.141,TR,64593,Synthetic TR Transit Cooperative 2
,10.20.0.142,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.0.143,PT,64585,Synthetic PT Transit Cooperative 2
,10.20.0.144,CO,64551,Synthetic CO Transit Cooperative 2
,10.20.0.145,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.0.146,KE,64598,Synthetic KE Transit Cooperative 1
,10.20.0.147,FR,64521,Synthetic FR Transit Cooperative 2
,10.20.0.148,SE,64589,Synthetic SE Transit Cooperative 2
,10.20.0.149,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.150,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.0.151,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.0.152,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.0.153,CN,64549,Synthetic CN Transit Cooperative 2
,10.20.0.154,CN,64549,Synthetic CN Transit Cooperative 2
,10.20.0.155,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.0.156,CN,64549,Synthetic CN Transit Cooperative 2
,10.20.0.157,AT,64541,Synthetic AT Transit Cooperative 2
,10.20.0.158,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.0.159,ID,64564,Synthetic ID Transit Cooperative 1
,10.20.0.160,KR,64572,Synthetic KR Transit Cooperative 1
,10.20.0.161,RO,64586,Synthetic RO Transit Cooperative 1
,10.20.0.162,CA,64517,Synthetic CA Transit Cooperative 2
,10.20.0.163,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.0.164,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.165,IE,64567,Synthetic IE Transit Cooperative 2
,10.20.0.166,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.0.167,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.0.168,ZA,64534,Synthetic ZA Transit Cooperative 1
,10.20.0.169,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.0.170,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.0.171,MY,64577,Synthetic MY Transit Cooperative 2
,10.20.0.172,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.173,GR,64561,Synthetic GR Transit Cooperative 2
,10.20.0.174,ES,64556,Synthetic ES Transit Cooperative 1
,10.20.0.175,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.0.176,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.0.177,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.0.178,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.0.179,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.0.180,ES,64557,Synthetic ES Transit Cooperative 2
,10.20.0.181,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.0.182,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.0.183,CZ,64552,Synthetic CZ Transit Cooperative 1
,10.20.0.184,US,64533,Synthetic US Transit Cooperative 2
,10.20.0.185,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.0.186,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.187,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.0.188,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.0.189,AE,64536,Synthetic AE Transit Cooperative 1
,10.20.0.190,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.0.191,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.0.192,AE,64536,Synthetic AE Transit Cooperative 1
,10.20.0.193,CH,64545,Synthetic CH Transit Cooperative 2
,10.20.0.194,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.0.195,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.196,CH,64544,Synthetic CH Transit Cooperative 1
,10.20.0.197,CH,64545,Synthetic CH Transit Cooperative 2
,10.20.0.198,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.0.199,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.0.200,CO,64550,Synthetic CO Transit Cooperative 1
,10.20.0.201,JP,64526,Synthetic JP Transit Cooperative 1
,10.20.0.202,RO,64587,Synthetic RO Transit Cooperative 2
,10.20.0.203,NZ,64581,Synthetic NZ Transit Cooperative 2
,10.20.0.204,SE,64589,Synthetic SE Transit Cooperative 2
,10.20.0.205,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.0.206,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.0.207,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.0.208,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.0.209,AR,64539,Synthetic AR Transit Cooperative 2
,10.20.0.210,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.0.211,HK,64562,Synthetic HK Transit Cooperative 1
,10.20.0.212,IE,64566,Synthetic IE Transit Cooperative 1
,10.20.0.213,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.0.214,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.0.215,US,64532,Synthetic US Transit Cooperative 1
,10.20.0.216,CA,64516,Synthetic CA Transit Cooperative 1
,10.20.0.217,GB,64522,Synthetic GB Transit Cooperative 1
,10.20.0.218,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.0.219,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.0.220,AT,64540,Synthetic AT Transit Cooperative 1
,10.20.0.221,CA,64517,Synthetic CA Transit Cooperative 2
,10.20.0.222,AE,64537,Synthetic AE Transit Cooperative 2
,10.20.0.223,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.0.224,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.0.225,MX,64574,Synthetic MX Transit Cooperative 1
,10.20.0.226,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.0.227,FR,64521,Synthetic FR Transit Cooperative 2
,10.20.0.228,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.0.229,ID,64564,Synthetic ID Transit Cooperative 1
,10.20.0.230,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.0.231,US,64532,Synthetic US Transit Cooperative 1
,10.20.0.232,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.0.233,KE,64598,Synthetic KE Transit Cooperative 1
,10.20.0.234,IL,64569,Synthetic IL Transit Cooperative 2
,10.20.0.235,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.0.236,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.0.237,UA,64595,Synthetic UA Transit Cooperative 2
,10.20.0.238,CO,64550,Synthetic CO Transit Cooperative 1
,10.20.0.239,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.0.240,RO,64587,Synthetic RO Transit Cooperative 2
,10.20.0.241,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.0.242,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.0.243,PL,64583,Synthetic PL Transit Cooperative 2
,10.20.0.244,NG,64601,Synthetic NG Transit Cooperative 2
,10.20.0.245,FR,64520,Synthetic FR Transit Cooperative 1
,10.20.0.246,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.0.247,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.0.248,IE,64566,Synthetic IE Transit Cooperative 1
,10.20.0.249,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.0.250,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.0.251,KR,64572,Synthetic KR Transit Cooperative 1
,10.20.0.252,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.0.253,HK,64563,Synthetic HK Transit Cooperative 2
,10.20.0.254,CZ,64553,Synthetic CZ Transit Cooperative 2
,10.20.1.1,MY,64576,Synthetic MY Transit Cooperative 1
,10.20.1.2,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.1.3,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.1.4,ES,64556,Synthetic ES Transit Cooperative 1
,10.20.1.5,ID,64565,Synthetic ID Transit Cooperative 2
,10.20.1.6,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.1.7,BE,64542,Synthetic BE Transit Cooperative 1
,10.20.1.8,US,64533,Synthetic US Transit Cooperative 2
,10.20.1.9,KR,64573,Synthetic KR Transit Cooperative 2
,10.20.1.10,US,64533,Synthetic US Transit Cooperative 2
,10.20.1.11,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.1.12,FR,64520,Synthetic FR Transit Cooperative 1
,10.20.1.13,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.1.14,TR,64592,Synthetic TR Transit Cooperative 1
,10.20.1.15,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.1.16,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.1.17,JP,64526,Synthetic JP Transit Cooperative 1
,10.20.1.18,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.1.19,TR,64593,Synthetic TR Transit Cooperative 2
,10.20.1.20,GR,64561,Synthetic GR Transit Cooperative 2
,10.20.1.21,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.1.22,AU,64512,Synthetic AU Transit Cooperative 1
,10.20.1.23,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.1.24,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.1.25,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.1.26,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.1.27,KR,64573,Synthetic KR Transit Cooperative 2
,10.20.1.28,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.1.29,ID,64565,Synthetic ID Transit Cooperative 2
,10.20.1.30,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.1.31,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.1.32,US,64532,Synthetic US Transit Cooperative 1
,10.20.1.33,NL,64528,Synthetic NL Transit Cooperative 1
,10.20.1.34,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.1.35,CL,64547,Synthetic CL Transit Cooperative 2
,10.20.1.36,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.1.37,HK,64562,Synthetic HK Transit Cooperative 1
,10.20.1.38,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.1.39,TR,64592,Synthetic TR Transit Cooperative 1
,10.20.1.40,US,64533,Synthetic US Transit Cooperative 2
,10.20.1.41,ID,64565,Synthetic ID Transit Cooperative 2
,10.20.1.42,GB,64523,Synthetic GB Transit Cooperative 2
,10.20.1.43,FI,64559,Synthetic FI Transit Cooperative 2
,10.20.1.44,PT,64584,Synthetic PT Transit Cooperative 1
,10.20.1.45,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.1.46,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.1.47,NL,64528,Synthetic NL Transit Cooperative 1
,10.20.1.48,DE,64519,Synthetic DE Transit Cooperative 2
,10.20.1.49,US,64533,Synthetic US Transit Cooperative 2
,10.20.1.50,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.1.51,CO,64550,Synthetic CO Transit Cooperative 1
,10.20.1.52,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.1.53,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.1.54,CO,64550,Synthetic CO Transit Cooperative 1
,10.20.1.55,MX,64574,Synthetic MX Transit Cooperative 1
,10.20.1.56,FI,64559,Synthetic FI Transit Cooperative 2
,10.20.1.57,IL,64568,Synthetic IL Transit Cooperative 1
,10.20.1.58,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.1.59,BE,64542,Synthetic BE Transit Cooperative 1
,10.20.1.60,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.1.61,NG,64601,Synthetic NG Transit Cooperative 2
,10.20.1.62,UA,64595,Synthetic UA Transit Cooperative 2
,10.20.1.63,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.1.64,RO,64586,Synthetic RO Transit Cooperative 1
,10.20.1.65,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.1.66,ES,64557,Synthetic ES Transit Cooperative 2
,10.20.1.67,CH,64544,Synthetic CH Transit Cooperative 1
,10.20.1.68,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.1.69,IT,64570,Synthetic IT Transit Cooperative 1
,10.20.1.70,MX,64574,Synthetic MX Transit Cooperative 1
,10.20.1.71,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.1.72,TR,64593,Synthetic TR Transit Cooperative 2
,10.20.1.73,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.1.74,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.1.75,NZ,64581,Synthetic NZ Transit Cooperative 2
,10.20.1.76,AT,64541,Synthetic AT Transit Cooperative 2
,10.20.1.77,US,64533,Synthetic US Transit Cooperative 2
,10.20.1.78,IN,64525,Synthetic IN Transit Cooperative 2
,10.20.1.79,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.1.80,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.1.81,CH,64545,Synthetic CH Transit Cooperative 2
,10.20.1.82,BR,64515,Synthetic BR Transit Cooperative 2
,10.20.1.83,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.1.84,JP,64527,Synthetic JP Transit Cooperative 2
,10.20.1.85,PL,64582,Synthetic PL Transit Cooperative 1
,10.20.1.86,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.1.87,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.1.88,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.1.89,FR,64521,Synthetic FR Transit Cooperative 2
,10.20.1.90,HK,64562,Synthetic HK Transit Cooperative 1
,10.20.1.91,IN,64525,Synthetic IN Transit Cooperative 2
,10.20.1.92,BR,64515,Synthetic BR Transit Cooperative 2
,10.20.1.93,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.1.94,NG,64600,Synthetic NG Transit Cooperative 1
,10.20.1.95,CO,64551,Synthetic CO Transit Cooperative 2
,10.20.1.96,AU,64512,Synthetic AU Transit Cooperative 1
,10.20.1.97,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.1.98,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.1.99,US,64532,Synthetic US Transit Cooperative 1
,10.20.1.100,AT,64540,Synthetic AT Transit Cooperative 1
,10.20.1.101,ZA,64535,Synthetic ZA Transit Cooperative 2
,10.20.1.102,IN,64524,Synthetic IN Transit Cooperative 1
,10.20.1.103,MX,64575,Synthetic MX Transit Cooperative 2
,10.20.1.104,ZA,64535,Synthetic ZA Transit Cooperative 2
,10.20.1.105,CA,64516,Synthetic CA Transit Cooperative 1
,10.20.1.106,CA,64517,Synthetic CA Transit Cooperative 2
,10.20.1.107,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.1.108,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.1.109,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.1.110,NL,64529,Synthetic NL Transit Cooperative 2
,10.20.1.111,TR,64592,Synthetic TR Transit Cooperative 1
,10.20.1.112,NG,64601,Synthetic NG Transit Cooperative 2
,10.20.1.113,IE,64567,Synthetic IE Transit Cooperative 2
,10.20.1.114,TH,64591,Synthetic TH Transit Cooperative 2
,10.20.1.115,MY,64577,Synthetic MY Transit Cooperative 2
,10.20.1.116,TR,64592,Synthetic TR Transit Cooperative 1
,10.20.1.117,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.1.118,FI,64559,Synthetic FI Transit Cooperative 2
,10.20.1.119,ES,64556,Synthetic ES Transit Cooperative 1
,10.20.1.120,NG,64601,Synthetic NG Transit Cooperative 2
,10.20.1.121,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.1.122,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.1.123,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.1.124,US,64532,Synthetic US Transit Cooperative 1
,10.20.1.125,CA,64517,Synthetic CA Transit Cooperative 2
,10.20.1.126,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.1.127,AE,64537,Synthetic AE Transit Cooperative 2
,10.20.1.128,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.1.129,JP,64526,Synthetic JP Transit Cooperative 1
,10.20.1.130,UA,64594,Synthetic UA Transit Cooperative 1
,10.20.1.131,PT,64585,Synthetic PT Transit Cooperative 2
,10.20.1.132,KE,64598,Synthetic KE Transit Cooperative 1
,10.20.1.133,IE,64567,Synthetic IE Transit Cooperative 2
,10.20.1.134,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.1.135,FI,64559,Synthetic FI Transit Cooperative 2
,10.20.1.136,DK,64554,Synthetic DK Transit Cooperative 1
,10.20.1.137,KR,64573,Synthetic KR Transit Cooperative 2
,10.20.1.138,BR,64514,Synthetic BR Transit Cooperative 1
,10.20.1.139,AU,64513,Synthetic AU Transit Cooperative 2
,10.20.1.140,NO,64579,Synthetic NO Transit Cooperative 2
,10.20.1.141,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.1.142,SG,64531,Synthetic SG Transit Cooperative 2
,10.20.1.143,SE,64588,Synthetic SE Transit Cooperative 1
,10.20.1.144,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.1.145,SE,64589,Synthetic SE Transit Cooperative 2
,10.20.1.146,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.1.147,FI,64558,Synthetic FI Transit Cooperative 1
,10.20.1.148,VN,64596,Synthetic VN Transit Cooperative 1
,10.20.1.149,VN,64597,Synthetic VN Transit Cooperative 2
,10.20.1.150,RO,64587,Synthetic RO Transit Cooperative 2
,10.20.1.151,IT,64571,Synthetic IT Transit Cooperative 2
,10.20.1.152,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.1.153,KE,64599,Synthetic KE Transit Cooperative 2
,10.20.1.154,GR,64560,Synthetic GR Transit Cooperative 1
,10.20.1.155,RO,64586,Synthetic RO Transit Cooperative 1
,10.20.1.156,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.1.157,IT,64570,Synthetic IT Transit Cooperative 1
,10.20.1.158,NZ,64580,Synthetic NZ Transit Cooperative 1
,10.20.1.159,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.1.160,AR,64538,Synthetic AR Transit Cooperative 1
,10.20.1.161,DK,64555,Synthetic DK Transit Cooperative 2
,10.20.1.162,SG,64530,Synthetic SG Transit Cooperative 1
,10.20.1.163,US,64532,Synthetic US Transit Cooperative 1
,10.20.1.164,AE,64536,Synthetic AE Transit Cooperative 1
,10.20.1.165,CL,64546,Synthetic CL Transit Cooperative 1
,10.20.1.166,CN,64548,Synthetic CN Transit Cooperative 1
,10.20.1.167,BE,64543,Synthetic BE Transit Cooperative 2
,10.20.1.168,IN,64524,Synthetic IN Transit Cooperative 1
