scenario_family,scenario_instance_id,start_timestamp,end_timestamp,record_count,wallet_count,ip_count,expected_signals,expected_pattern_kind,label_strength,contamination_note
D,D-02,2024-11-30T00:01:05Z,2024-11-30T04:12:59Z,20,34,2,"flow,transaction,temporal",strong,weak,near_threshold
D,D-03,2024-11-02T00:00:57Z,2024-11-02T04:12:14Z,20,29,5,"flow,transaction,temporal",strong,weak,near_threshold
D,D-04,2024-11-29T00:01:08Z,2024-11-29T10:00:44Z,20,35,4,"flow,transaction,temporal",strong,weak,
D,D-05,2024-11-26T00:01:28Z,2024-11-26T11:29:53Z,20,38,4,"flow,transaction,temporal",strong,weak,
D,D-06,2024-11-26T00:01:08Z,2024-11-27T11:34:57Z,20,38,2,"flow,transaction,temporal",strong,weak,
D,D-07,2024-11-14T00:00:16Z,2024-11-14T07:00:59Z,20,38,4,"flow,transaction,temporal",strong,weak,
D,D-08,2024-11-07T00:01:12Z,2024-11-07T10:20:55Z,20,37,3,"flow,transaction,temporal",strong,weak,
D,D-09,2024-11-09T00:00:02Z,2024-11-09T01:03:02Z,20,37,2,"flow,transaction,temporal",strong,weak,
D,D-10,2024-11-19T00:00:48Z,2024-11-19T02:19:04Z,20,33,6,"flow,transaction,temporal",strong,weak,
D,D-11,2024-11-22T00:01:12Z,2024-11-23T09:34:46Z,20,41,4,"flow,transaction,temporal",strong,weak,
D,D-12,2024-11-09T00:01:09Z,2024-11-09T02:05:25Z,20,36,4,"flow,transaction,temporal",strong,weak,
D,D-13,2024-11-27T00:00:29Z,2024-11-27T11:02:16Z,20,39,2,"flow,transaction,temporal",strong,weak,
D,D-14,2024-11-30T00:01:26Z,2024-11-30T07:23:01Z,20,41,2,"flow,transaction,temporal",strong,weak,
D,D-15,2024-11-15T00:01:09Z,2024-11-15T03:52:06Z,20,37,4,"flow,transaction,temporal",strong,weak,
E,E-01,2024-11-08T10:22:56Z,2024-11-09T00:15:27Z,53,19,15,"graph,flow",fan_in,weak,benign_batch_payout
E,E-02,2024-11-18T10:30:56Z,2024-11-19T00:18:56Z,53,21,9,"graph,flow",fan_in,weak,benign_batch_payout
E,E-03,2024-11-09T13:00:47Z,2024-11-10T04:12:33Z,53,27,12,"graph,flow",fan_in,strong,
E,E-04,2024-11-14T15:00:29Z,2024-11-15T07:12:00Z,53,18,10,"graph,flow",fan_in,strong,
E,E-05,2024-11-15T08:18:21Z,2024-11-15T22:15:27Z,52,21,6,"graph,flow",fan_in,strong,
E,E-06,2024-11-04T16:30:06Z,2024-11-05T06:38:17Z,52,18,13,"graph,flow",fan_in,strong,
E,E-07,2024-11-16T14:38:02Z,2024-11-17T05:19:05Z,52,20,14,"graph,flow",fan_in,strong,
E,E-08,2024-11-22T14:14:32Z,2024-11-23T03:54:00Z,52,19,12,"graph,flow",fan_in,strong,
F,F-01,2024-11-03T00:00:00Z,2024-11-30T23:59:59Z,65,43,6,graph,none,weak,benign_multi_address_user
F,F-02,2024-11-24T00:00:00Z,2024-11-30T23:59:59Z,65,44,6,graph,fan_in,weak,
F,F-03,2024-11-14T00:00:00Z,2024-11-30T23:59:59Z,65,45,2,graph,fan_in,weak,
F,F-04,2024-11-04T00:00:00Z,2024-11-30T23:59:59Z,65,48,4,graph,none,strong,
F,F-05,2024-11-29T00:00:00Z,2024-11-30T23:59:59Z,65,47,6,graph,none,strong,
F,F-06,2024-11-28T00:00:00Z,2024-11-30T23:59:59Z,65,49,6,graph,none,strong,
F,F-07,2024-11-06T00:00:00Z,2024-11-30T23:59:59Z,65,40,2,graph,none,strong,
F,F-08,2024-11-24T00:00:00Z,2024-11-30T23:59:59Z,65,48,4,graph,fan_in,strong,
F,F-09,2024-11-16T00:00:00Z,2024-11-30T23:59:59Z,65,39,6,graph,none,strong,
F,F-10,2024-11-04T00:00:00Z,2024-11-30T23:59:59Z,65,49,6,graph,fan_in,strong,
F,F-11,2024-11-01T00:00:00Z,2024-11-30T23:59:59Z,65,44,6,graph,none,strong,
F,F-12,2024-11-22T00:00:00Z,2024-11-30T23:59:59Z,65,40,2,graph,none,strong,
F,F-13,2024-11-04T00:00:00Z,2024-11-30T23:59:59Z,65,40,6,graph,none,strong,
F,F-14,2024-11-01T00:00:00Z,2024-11-30T23:59:59Z,65,43,4,graph,fan_in,strong,
F,F-15,2024-11-17T00:00:00Z,2024-11-30T23:59:59Z,65,43,6,graph,none,strong,
F,F-16,2024-11-10T00:00:00Z,2024-11-30T23:59:59Z,65,50,4,graph,none,strong,
F,F-17,2024-11-19T00:00:00Z,2024-11-30T23:59:59Z,65,45,6,graph,none,strong,
F,F-18,2024-11-01T00:00:00Z,2024-11-30T23:59:59Z,65,52,4,graph,none,strong,
F,F-19,2024-11-28T00:00:00Z,2024-11-30T23:59:59Z,65,40,6,graph,fan_in,strong,
F,F-20,2024-11-04T00:00:00Z,2024-11-30T23:59:59Z,65,42,4,graph,fan_in,strong,
G,G-01,2024-11-18T00:10:15Z,2024-11-18T06:09:47Z,43,50,55,network,none,strong,shares_ip_with_C
G,G-02,2024-11-22T00:42:51Z,2024-11-22T06:02:15Z,43,48,50,network,none,strong,
G,G-03,2024-11-10T00:16:37Z,2024-11-10T06:05:10Z,43,48,52,network,none,weak,
G,G-04,2024-11-18T00:09:37Z,2024-11-18T05:55:27Z,43,48,45,network,none,weak,
G,G-05,2024-11-17T00:19:17Z,2024-11-17T06:07:02Z,43,48,55,network,none,weak,
G,G-06,2024-11-27T00:11:10Z,2024-11-27T06:05:08Z,43,48,46,network,none,weak,
G,G-07,2024-11-14T00:22:30Z,2024-11-14T06:05:03Z,43,47,50,network,none,weak,
G,G-08,2024-11-04T00:09:09Z,2024-11-04T05:56:15Z,43,47,46,network,none,weak,
G,G-09,2024-11-15T00:11:57Z,2024-11-15T06:01:45Z,43,51,53,network,none,weak,
G,G-10,2024-11-22T00:24:59Z,2024-11-22T06:01:40Z,43,49,50,network,none,weak,
H,H-01,2024-11-12T00:45:57Z,2024-11-30T23:59:59Z,317,83,6,graph,none,weak,contains_embedded_C
H,H-02,2024-11-24T00:18:08Z,2024-11-30T23:59:59Z,317,67,8,graph,none,weak,
H,H-03,2024-11-02T00:08:08Z,2024-11-30T23:59:59Z,317,40,6,graph,none,weak,
H,H-04,2024-11-08T10:57:16Z,2024-11-30T23:59:59Z,317,51,8,graph,none,weak,
H,H-05,2024-11-10T00:49:19Z,2024-11-30T23:59:59Z,316,65,8,graph,none,weak,
H,H-06,2024-11-18T05:47:52Z,2024-11-30T23:59:59Z,316,118,6,graph,none,weak,
