address,expected_group,group_kind,family,role,label_strength,ip_behaviour_class,expected_elevated_features
bc1q03k49cgx23lg735qj5cnghmz4c8m2j59mecfgt,,none,A,background,weak,stable,
bc1q03k49cgx23lg735qj5cnghmz4c8m2j59mecfgt,B-01,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q03nql22y4purrudvgc0x2w0rtwc9wh3z0x2w9a,,none,A,background,weak,stable,
bc1q03qwffaff7t4ha03wykzwcefnmle26dep2gd3u,,none,A,background,weak,stable,
bc1q03rrjmph65ylxxvjzy2ueevx3sucr09y58fm3u,,none,A,background,weak,stable,
bc1q03tw66z4u2887xggyc759gqxltlvl2vcdlpr6z,,none,A,background,weak,stable,
bc1q03uvmq87ef3ud0982ujyr332hugq2wxqx5wat8,,none,A,background,weak,stable,
bc1q03xvdwyfju2pgg3rptugwmk7wl4jyc37p6ptgy,,none,A,background,weak,stable,
bc1q03z4xetqyc5aane3wqy4m0dvs8pv758xcc3ess,,none,A,background,weak,stable,
bc1q0425f0t0parmwe64aenwuqrq0ynuuruqxsq4lz,,none,A,background,weak,stable,
bc1q0425f0t0parmwe64aenwuqrq0ynuuruqxsq4lz,C-06,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q043jx9m3r53skxv452q94ya34cnz9ahyw9smum,,none,A,background,weak,stable,
bc1q046vcvmhdzw30mqtvx9ffcae476jxnkn5ckm4g,,none,A,background,weak,stable,
bc1q046vcvmhdzw30mqtvx9ffcae476jxnkn5ckm4g,B-12,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q04cleqvh5r9hw0w2ghdygw8clgquh3cajf7dsh,,none,A,background,weak,stable,
bc1q04dcsa4y6yvzd495lmyhh4ywj9y8rhrs9ve72y,,none,A,background,weak,stable,
bc1q04dda5pxa23cc482cqkg9yc7hqpdzp3mlrhzc0,,none,A,background,weak,stable,
bc1q04dda5pxa23cc482cqkg9yc7hqpdzp3mlrhzc0,B-09,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q04dda5pxa23cc482cqkg9yc7hqpdzp3mlrhzc0,F-16,common_input_entity,F,scenario_core,strong,stable,graph
bc1q04fe4chr75gs42gj43u22c67vnna5f6l8ar0ff,,none,A,background,weak,stable,
bc1q04h3qwp9j22vzqp6uvjxx7lpllec9yfpf2vshx,,none,A,background,weak,stable,
bc1q04h7pu7rrnpdh856tcyshr7qkqsselmq3p425k,,none,A,background,weak,stable,
bc1q04h7pu7rrnpdh856tcyshr7qkqsselmq3p425k,D-02,scenario_instance,D,scenario_core,strong,stable,"flow,transaction,temporal"
bc1q04hgmhyu33cl52da08dz87fqp5tz7z0k9de2g7,,none,A,background,weak,stable,
bc1q04p4czpza65xzgegxjduhqdm9evpvle4yl3w0n,,none,A,background,weak,stable,
bc1q04p4czpza65xzgegxjduhqdm9evpvle4yl3w0n,C-01,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q04p4czpza65xzgegxjduhqdm9evpvle4yl3w0n,G-09,scenario_instance,G,scenario_core,weak,churning,network
bc1q04r2j646hhy8dxdmch4euhr28klf7wa3xjwyra,,none,A,background,weak,stable,
bc1q04ttngtftn96dk6z05csdphaeycny355gga8ck,,none,A,background,weak,stable,
bc1q04w2dz0klxq58yrxm7r9txyfhqlk7yeewgvhlz,,none,A,background,weak,stable,
bc1q04x8g5zkpwuzncng9pfkzrhp3vaug9j835a3jz,,none,A,background,weak,stable,
bc1q050ft9mmnkkr2gr0fntps0gpjwm7avq8rcren3,,none,A,background,weak,stable,
bc1q05525g7n8r5wxluzw6hd2d0ky9g2lecekpynn2,,none,A,background,weak,stable,
bc1q056fq7lmyxvryzgc2tjeu93wr293vjtqln5w85,,none,A,background,weak,stable,
bc1q056fq7lmyxvryzgc2tjeu93wr293vjtqln5w85,H-04,dense_community,H,scenario_core,weak,stable,graph
bc1q0577jmz7tuvwweryq33n5t4qr8awh0mr845ll0,,none,A,background,weak,stable,
bc1q0577jmz7tuvwweryq33n5t4qr8awh0mr845ll0,C-10,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q0580lnuktqjsyy4mw3z4p2lglhtjqjwps8arka,,none,A,background,weak,stable,
bc1q05gv0sgvs7hujc5ty3qs8le25grkyq4uultw22,,none,A,background,weak,stable,
bc1q05ha8j9r8aacgwv9wv8qgtxsddqgdq3jr5v0a2,,none,A,background,weak,stable,
bc1q05je6jvsh0vkjfsytm4e2zakgs8y5z5nq2zw4e,,none,A,background,weak,stable,
bc1q05n0j2z6dtgq4kgck0gnmjccttcjlcqurryn26,,none,A,background,weak,stable,
bc1q05pee3v5jt46y9t8xdczezzhrnj3rzeg23xcmn,,none,A,background,weak,stable,
bc1q05px22jv8dw3jpr9zf5y9zx2llfku5lw59xhmv,,none,A,background,weak,stable,
bc1q05q40fwwt49qjw3c42a550we27wsa6kehw60dy,,none,A,background,weak,stable,
bc1q05rqvjxwddl3d4cma66adtzc6x2rg88qect30q,,none,A,background,weak,stable,
bc1q05wlk5fhjsawesp6wa04830s57ydj42zsc9vw9,,none,A,background,weak,stable,
bc1q05wm3cfhxnfmyjp0rgc22a4qqwph4kceuakasd,,none,A,background,weak,stable,
bc1q05xlvze75jl62hwqke7d620dd9nljk9qx09v2n,,none,A,background,weak,stable,
bc1q05xlvze75jl62hwqke7d620dd9nljk9qx09v2n,E-06,scenario_instance,E,scenario_core,strong,stable,"structure,graph,flow"
bc1q05yvpanghj64nrgu0kxjselqx8f9dtfavvj4vc,,none,A,background,weak,stable,
bc1q068srq2dx4ya9tpg5wl33t9rth7r0j34zxluqv,,none,A,background,weak,stable,
bc1q06caa2lqlxnyeqv3g4l82hrj4lym23f8n5kk0j,,none,A,background,weak,stable,
bc1q06dm4txplvgc322qycndfryylyhf5p5pdzm66r,,none,A,background,weak,stable,
bc1q06gatvxp2gg7h8u4rmjwnwvrsuvt0kn4sd7np3,,none,A,background,weak,stable,
bc1q06p7740t05uur7yqlnjnj073a0qjzgqxez9sea,,none,A,background,weak,stable,
bc1q06r2qd0jumsf4k2e539gtrfe359x5qayr2ynx9,,none,A,background,weak,stable,
bc1q06r2qd0jumsf4k2e539gtrfe359x5qayr2ynx9,C-09,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q06rs468zv0f6e5c27p55nf7r80q0za4dk4f8ed,,none,A,background,weak,stable,
bc1q06rs468zv0f6e5c27p55nf7r80q0za4dk4f8ed,C-08,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q06xxcqf335g8rsmzlzeart4n2y9pmx28gg6pxm,,none,A,background,weak,stable,
bc1q06ynce6ctzz76z6k3y993c6d8q9j09vkrzerrq,,none,A,background,weak,stable,
bc1q06ynce6ctzz76z6k3y993c6d8q9j09vkrzerrq,C-08,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q06ynce6ctzz76z6k3y993c6d8q9j09vkrzerrq,F-18,common_input_entity,F,scenario_core,strong,stable,graph
bc1q06zvgeegtcjqdlu2sm5dfgm8aqqrnr7f6agkxu,,none,A,background,weak,stable,
bc1q070dh2dt9d42ezw6jlsekgqw27gtdeelgjeg8l,,none,A,background,weak,stable,
bc1q072quyausq9h3szjukrrsefg0hz0lr0h5e69hn,,none,A,background,weak,stable,
bc1q076yg9fyczgzn9dtxwejs60kdt30tgjng5p2ts,,none,A,background,weak,stable,
bc1q078vxzt5ah7dgwennx0pe4z20054flrld2zm94,,none,A,background,weak,stable,
bc1q07cvkckvmac0zcmwxnla4wtezggq787kwfsayc,,none,A,background,weak,stable,
bc1q07fqds79q0d5ensf3rfvdqjvl467c9ppa9gz8g,,none,A,background,weak,stable,
bc1q07krx8g4qyf49erwe4h36xlexqjnt9p0ew2vcu,,none,A,background,weak,stable,
bc1q07l96n3rmacrczsy8ay8a4frvm2ac5j6ujn3wx,,none,A,background,weak,stable,
bc1q07nwqn8dxpwyrpctmhcd8c26du3hl4yykf8nz2,,none,A,background,weak,stable,
bc1q07pgkwx2zl7rxce903gg5agwq0hkrktxtlu49u,,none,A,background,weak,stable,
bc1q07seuy5x309wkpdnp9f2zt7vvy0837ckh656w2,,none,A,background,weak,stable,
bc1q07umlf4gazqegw0re5s892fhnyyazpgyxen28a,,none,A,background,weak,stable,
bc1q07zd4ayve9quysqf4elake97dgwksnfug0e4gu,,none,A,background,weak,stable,
bc1q082je0kd8wajscnmcdfsave4jwp9u8zpayujcg,,none,A,background,weak,stable,
bc1q0879hegnk6qpl4v5arz8qgt9dx2qtpcw7sy7q4,,none,A,background,weak,stable,
bc1q089s8tu7ac92ranwancdpqr8rm59fmma4zuevz,,none,A,background,weak,stable,
bc1q089s8tu7ac92ranwancdpqr8rm59fmma4zuevz,C-07,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q08ac7urh0wgu57ej5fhs8m7c9vyxr9za9s8l2x,,none,A,background,weak,stable,
bc1q08chawaj6x6hyd3ep64cn7ccpwf9gmkg9k8a89,,none,A,background,weak,stable,
bc1q08chawaj6x6hyd3ep64cn7ccpwf9gmkg9k8a89,H-01,dense_community,H,scenario_core,weak,stable,graph
bc1q08chawaj6x6hyd3ep64cn7ccpwf9gmkg9k8a89,H-02,dense_community,H,scenario_core,weak,stable,graph
bc1q08d4nhsyxxkkzenzu5m4nlrex3qxquqy0na2t4,,none,A,background,weak,stable,
bc1q08d4nhsyxxkkzenzu5m4nlrex3qxquqy0na2t4,C-11,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q08fka2qfzq8pmtjj47st0zelmlt6uqp30fu30s,,none,A,background,weak,stable,
bc1q08k2y7w200p0xjle5ca54vtquzqqgwqh6wen9s,,none,A,background,weak,stable,
bc1q08k2y7w200p0xjle5ca54vtquzqqgwqh6wen9s,C-03,scenario_instance,C,scenario_support,weak,stable,"flow,temporal"
bc1q08l298hv5xtqe75hsvd77yw9xvg69uhvpyhu79,,none,A,background,weak,stable,
bc1q08n57959khzt9f7aeezvj4n6afvv824ux6pp35,,none,A,background,weak,stable,
bc1q08n57959khzt9f7aeezvj4n6afvv824ux6pp35,D-02,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
bc1q08u465xx5pwl727duf2pxt2fq9huu5ayvm68h3,,none,A,background,weak,stable,
bc1q08vmfnpnv3mazqkpee9e4lpca8w86lemejwqsp,,none,A,background,weak,stable,
bc1q08w5r3w2tsfz4tn0x8sk2qhyymveejmau4j0j7,,none,A,background,weak,stable,
bc1q08x0uztfrr2r3uqqqm0guwwh5gkz76xm2fm7qg,,none,A,background,weak,stable,
bc1q08y7q32sfzy4jckeq0geqq4x85wmvqms55t3q7,,none,A,background,weak,stable,
bc1q094lc0d7x8z6p9dc7r2ah6lrt37tlgnxpp5dwx,,none,A,background,weak,stable,
bc1q0977vg24d3wpq52t2f5tzqvyzx0fsy6g9xc3jn,,none,A,background,weak,stable,
bc1q0977vg24d3wpq52t2f5tzqvyzx0fsy6g9xc3jn,G-08,scenario_instance,G,scenario_core,weak,churning,network
bc1q0977vg24d3wpq52t2f5tzqvyzx0fsy6g9xc3jn,H-01,dense_community,H,scenario_core,weak,stable,graph
bc1q098wkj6xzh8rtjxsae5mtsp5egrrkqlehld4s0,,none,A,background,weak,stable,
bc1q09ax7zf85et78maqd4gu0au9e4edsxx5fx5ya3,,none,A,background,weak,stable,
bc1q09f206zs2kqst0fs7xnzzuzrj994szdhj75n0e,,none,A,background,weak,stable,
bc1q09f4e2hdty3x8e2yw6lhnwhcj9xa60x0rl7mjk,,none,A,background,weak,stable,
bc1q09jsplha3pvmzrgfn9zh6ku8dkcrf5lvmsh3a0,,none,A,background,weak,stable,
bc1q09jzwygfldezdn8vp2a46hy3lsz8sahdc9fmsn,,none,A,background,weak,stable,
bc1q09jzwygfldezdn8vp2a46hy3lsz8sahdc9fmsn,G-09,scenario_instance,G,scenario_core,weak,churning,network
bc1q09n3fj44xh46cdv3wtwq0c3c5tj2dzt0uea8y9,,none,A,background,weak,stable,
bc1q09ntq5r9t27z2kthwmg53p5cqeky3r2y2u3rlm,,none,A,background,weak,stable,
bc1q09r84w9zpefkn72a2uedyc64ja6xc0hkaxamdg,,none,A,background,weak,stable,
bc1q09r84w9zpefkn72a2uedyc64ja6xc0hkaxamdg,B-08,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q09r84w9zpefkn72a2uedyc64ja6xc0hkaxamdg,D-01,scenario_instance,D,scenario_core,strong,stable,"flow,transaction,temporal"
bc1q09taksuucw7fp7ja00r9n50tav42txkp6zt5gx,,none,A,background,weak,stable,
bc1q09taksuucw7fp7ja00r9n50tav42txkp6zt5gx,C-10,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q09vv9u5cvahdcs5n27k0c08rrdsdz79vkn0lrt,,none,A,background,weak,stable,
bc1q09zernzvk4jvq5z0xfqms6jz4je09zjlkscwej,,none,A,background,weak,stable,
bc1q0a57te7wyuk7z50n3h96we2ul3q554wgt23653,,none,A,background,weak,stable,
bc1q0a5tg3arg84e5fy6env3ud45lgl230edu07qsr,,none,A,background,weak,stable,
bc1q0a5tg3arg84e5fy6env3ud45lgl230edu07qsr,D-12,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
bc1q0a797smcrkzvv97qwr08ndhx684tfjq96m6eg5,,none,A,background,weak,stable,
bc1q0a7vnk67u5myv7nj3ycgs9czce8g2tdnnm986m,,none,A,background,weak,stable,
bc1q0a7vnk67u5myv7nj3ycgs9czce8g2tdnnm986m,F-19,common_input_entity,F,scenario_core,strong,stable,graph
bc1q0ahu8fxlnssx9hec6e6mj5ljpguwfke5yrx6ls,,none,A,background,weak,stable,
bc1q0ajvrag2xv02u54x2kwca8j2m49vrmw66n7mgd,,none,A,background,weak,stable,
bc1q0ajx3ywjgzf9gflm8s350q7dgqcdswznwm7nhr,,none,A,background,weak,stable,
bc1q0app7sdjrf2k3e9ajqet9ja3ssdxymvlfu3suk,,none,A,background,weak,stable,
bc1q0aq88keeptf98z3u06rcu75snhv707t93f79nq,,none,A,background,weak,stable,
bc1q0avv0sd9ne6wt6jaj5h6rptzycw5sajxz5ushu,,none,A,background,weak,stable,
bc1q0axlylfnv4v3jnyl0saumr3lqe9e89apt4ywyu,,none,A,background,weak,stable,
bc1q0ay20w8m0vjlqqs758yl0mznl8z50qrwnwwpt5,,none,A,background,weak,stable,
bc1q0ca7fk2p93zynvhq07upnd6u03et6euwhwgagd,,none,A,background,weak,stable,
bc1q0ca7fk2p93zynvhq07upnd6u03et6euwhwgagd,G-08,scenario_instance,G,scenario_core,weak,churning,network
bc1q0ced3urvwwcsnaaqrrpgfyw307qzmu662cq9fq,,none,A,background,weak,stable,
bc1q0ced3urvwwcsnaaqrrpgfyw307qzmu662cq9fq,D-12,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
bc1q0cerv5j6cmvwjnujcrf48klwzcxtkfwwzk9hdw,,none,A,background,weak,stable,
bc1q0cerv5j6cmvwjnujcrf48klwzcxtkfwwzk9hdw,D-02,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
bc1q0cetj5557lkxem8ut03pnuexsg0mqqprzh6dwx,,none,A,background,weak,stable,
bc1q0cetj5557lkxem8ut03pnuexsg0mqqprzh6dwx,G-02,scenario_instance,G,scenario_core,strong,churning,network
bc1q0cflumjhq5t86c3yrw597dlgfyzdmw3h9e8es0,,none,A,background,weak,stable,
bc1q0ch0rk8dtxdnkgparqvpl3hvd3fq8eg6pj9war,,none,A,background,weak,stable,
bc1q0ch0rk8dtxdnkgparqvpl3hvd3fq8eg6pj9war,C-08,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q0cm4hyj3c3a0hxdtamjj6xuxgw4a8nncun425t,,none,A,background,weak,stable,
bc1q0cm4hyj3c3a0hxdtamjj6xuxgw4a8nncun425t,F-02,common_input_entity,F,scenario_core,weak,stable,graph
bc1q0cp7x8st4yd8pczs57xpxee2enzzjm4gr3mms6,,none,A,background,weak,stable,
bc1q0cqx6pj00kkvdja649m0aj4j9rfjcwfutpk3kx,,none,A,background,weak,stable,
bc1q0cr3k20snglh2usvw6l7hmtn0c4mus3yazckj8,,none,A,background,weak,stable,
bc1q0d6crcx6n8t85e0mpusye2hqvnt7h3yq2d6dfx,,none,A,background,weak,stable,
bc1q0d9unps5ersw583kp3pwrj7zw5ahykuhu52q35,,none,A,background,weak,stable,
bc1q0de623pc6yg2d82w70vglh5s4wj7h6jgf98xg7,,none,A,background,weak,stable,
bc1q0dhpm3fmlmzzuvxe3h6zpd5wvhds8xxj36pwzw,,none,A,background,weak,stable,
bc1q0dk8e7znwxufldcphveqgkvyxu69kkd63larag,,none,A,background,weak,stable,
bc1q0dkqeu7dcfffraxxuhvnff2g3jfl03dwgx9edu,,none,A,background,weak,stable,
bc1q0dt7t5m6yzdwzplnppttsr2xcfp5yf4jdame03,,none,A,background,weak,stable,
bc1q0dvetehjh2e2pwpa8fcr0v0020w27j8nmqgu5z,,none,A,background,weak,stable,
bc1q0dw50he6rah278p4vqgctpvg4r0ygrtxfaxhak,,none,A,background,weak,stable,
bc1q0dws5qg34ngphk59ykjlvunr8m3kedv5mx53k9,,none,A,background,weak,stable,
bc1q0dxwkq5pnzlsp3ywjpxe9caedm2s4yltljyy3w,,none,A,background,weak,stable,
bc1q0dy96atzz99kyf2zfvr6rmmp3f0jwnexjmq2m2,,none,A,background,weak,stable,
bc1q0dy96atzz99kyf2zfvr6rmmp3f0jwnexjmq2m2,B-09,scenario_instance,B,scenario_core,strong,stable,temporal
bc1q0dyh95jh32dc3e0vtcjv3elw80zcmnprsyz906,,none,A,background,weak,stable,
bc1q0dyq2seq078ku569f6ppurq2hlv0ajt8d2x089,,none,A,background,weak,stable,
bc1q0dyq2seq078ku569f6ppurq2hlv0ajt8d2x089,G-03,scenario_instance,G,scenario_core,weak,churning,network
bc1q0dyxh5p42wgk0zqp735jkp0geteywvhhnkscvq,,none,A,background,weak,stable,
bc1q0e0ktsh2wxaglzdd2srv4nrha5j3rq27ed9p65,,none,A,background,weak,stable,
bc1q0e3f8k2lqpe9rdwsljsektzyuwrjyhrf8h76vz,,none,A,background,weak,stable,
bc1q0e7c92yaas8xkhenw9g37y9un59gn9c408vdyg,,none,A,background,weak,stable,
bc1q0e7c92yaas8xkhenw9g37y9un59gn9c408vdyg,C-10,scenario_instance,C,scenario_core,strong,stable,"flow,temporal"
bc1q0eesvv9wgkjknea4pvynf4xj80k5qdrgv6h72g,,none,A,background,weak,stable,
bc1q0eknj5ezjv0g45yscrwutnkc88vspzu3dcw70k,,none,A,background,weak,stable,
bc1q0el4nu36lxdpr9r505nxx7k96facrmz299augc,,none,A,background,weak,stable,
bc1q0eltxdd70k5nu5mmg437ymd5ja5tgp4az9y4dt,,none,A,background,weak,stable,
bc1q0emwkhjgs8wg7ra48fjts75p9gjnkg03wl2xr6,,none,A,background,weak,stable,
bc1q0ettxe2t9pd07tw0mkr7xnmuptpj98v9w5atq5,,none,A,background,weak,stable,
bc1q0ettxe2t9pd07tw0mkr7xnmuptpj98v9w5atq5,F-08,common_input_entity,F,scenario_core,strong,stable,graph
bc1q0ettxe2t9pd07tw0mkr7xnmuptpj98v9w5atq5,G-04,scenario_instance,G,scenario_core,weak,churning,network
bc1q0ettxe2t9pd07tw0mkr7xnmuptpj98v9w5atq5,G-07,scenario_instance,G,scenario_core,weak,churning,network
bc1q0euxwymqwncd5lw0kq2lfg2prf8myjl3z6uyah,,none,A,background,weak,stable,
bc1q0ew7lult2zfwhex8n28sgsu8vca7cneztw046d,,none,A,background,weak,stable,
bc1q0ey2696w3zp6zhhs8r26plts67dlfmxpejjm23,,none,A,background,weak,stable,
bc1q0f3p8k6pkjaqgsfhnvgqsntlkzhqre2gyjqjtj,,none,A,background,weak,stable,
bc1q0f3p8k6pkjaqgsfhnvgqsntlkzhqre2gyjqjtj,F-09,common_input_entity,F,scenario_core,strong,stable,graph
bc1q0f4d47tvqctlkxgyx27gtguupwkncxp3thjz9d,,none,A,background,weak,stable,
bc1q0f5kh8fxqrr5jr73uwrcum72nx2609g73hjuqh,,none,A,background,weak,stable,
bc1q0fhll5xty2g9azhrk6vz86lgs0qelvzynpqzfa,,none,A,background,weak,stable,
bc1q0fshcwnwa903u8ap9ra6rq0md89xxqr4qx6v0e,,none,A,background,weak,stable,
bc1q0fshcwnwa903u8ap9ra6rq0md89xxqr4qx6v0e,C-06,scenario_instance,C,scenario_support,weak,stable,"flow,temporal"
bc1q0fshcwnwa903u8ap9ra6rq0md89xxqr4qx6v0e,H-06,dense_community,H,scenario_core,weak,stable,graph
bc1q0fxcmtc2khjn4fmxhn0hhlx9phr4wzk2wh8nd8,,none,A,background,weak,stable,
bc1q0fza4u6473lst67up09yauaxcssapzpye7mapd,,none,A,background,weak,stable,
bc1q0g45afkls7vkfcweth5n5z3a0rd7y4jw7c8sx7,,none,A,background,weak,stable,
bc1q0g45afkls7vkfcweth5n5z3a0rd7y4jw7c8sx7,G-06,scenario_instance,G,scenario_core,weak,churning,network
bc1q0g609ljcw364pf0fvw5zamwx2vtvc7x3gfspy7,,none,A,background,weak,stable,
bc1q0g609ljcw364pf0fvw5zamwx2vtvc7x3gfspy7,D-09,scenario_instance,D,scenario_core,strong,stable,"flow,transaction,temporal"
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,,none,A,background,weak,stable,
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-01,common_input_entity,F,scenario_support,benign_multi_address_user,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-02,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-03,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-04,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-05,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-06,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-07,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-08,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-09,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-10,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-11,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-12,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-13,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-14,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-15,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-16,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-17,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-18,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-19,common_input_entity,F,scenario_support,,stable,graph
bc1q0gew8wunha5zlnk0eg2pxlt289lk27kxv79awn,F-20,common_input_entity,F,scenario_support,,stable,graph
bc1q0gexprsxfxp69uapx6ekhljd74aa3t0w8unrw0,,none,A,background,weak,stable,
bc1q0gexprsxfxp69uapx6ekhljd74aa3t0w8unrw0,D-14,scenario_instance,D,scenario_support,weak,stable,"flow,transaction,temporal"
