source_record_id,txid,scenario_family,scenario_instance_id,ground_truth_role,label_strength,expected_signals,expected_pattern_kind,contamination_note
R00000048,1ab4ac28fd8e792d5ddcf7cf09d66f09b4189efb98d571d21107b2f9ef0a2e73,A,,background,weak,,none,
R00000049,ebf931f6ae3848bd2caade18f186a025739196b022bcbbe6621aac8dcf2b1f8f,A,,background,weak,,none,
R00000050,8fcf990b80b837e1c96ca90202cd35db53d8f00b410832f343ac6914c709d560,F,F-11,scenario_support,,graph,strong,
R00000051,215bab8b19e79241ed320bfcb845b276b731c9d433e2200e7f96663623814cf3,A,,background,weak,,none,
R00000052,3f943b0f872ccedc61cfa0589b3c35eba1b0128bdc08c918208eb24e19cd3133,F,F-14,scenario_support,,graph,strong,
R00000053,05a61a905563a9011f38d0a04c07df204395224111ce9e7de0f50d302330a172,A,,background,weak,,none,
R00000054,c173ca1e416a36283bdc38186e27372d360471bc557d1568ae81438163ffb574,A,,background,weak,,none,
R00000055,b2d8b94b87fdce2e894d27fa4bbbd72adbafc50bb431a3ddaf44c32bbc4f0940,F,F-18,scenario_support,,graph,strong,
R00000056,33d174be13b737293a4d480964f5907efa34b03dd69b73e9ba8acec6bc16bd66,A,,background,weak,,none,
R00000057,ff1ff2057ffb30ca198060774be991c9bc249f15d3a6add2de640c10a87ac61c,F,F-11,scenario_support,,graph,strong,
R00000058,5989b2abb6d52b2964d662e96bae87338e02e43ad2ab6de0ab943f674acf97d1,F,F-14,scenario_support,,graph,strong,
R00000059,c290cb0786947c39d6c570a3e27718cf9cd397ee917dfef30f7a28f301056541,F,F-18,scenario_support,,graph,strong,
R00000060,3ef55910e4ac983d8303f7b2608b9e37ac94e89ea0b1adc8cfa7a0a12c0a3f7f,A,,background,weak,,none,
R00000061,c383a329a5773efc42cd17d0b3ba837669a4e5edd241d5a384611f2fe5e66947,F,F-14,scenario_support,,graph,strong,
R00000062,0d05b6e2007d171075ad5e91d93c8a91c6e89c3b1a64a8e758815aed61cc859e,A,,background,weak,,none,
R00000063,c5229c29ab5ce5373156bbae7c86edff8dc3a690522ff23baa9ce5d13028b368,F,F-11,scenario_support,,graph,strong,
R00000064,77cbe5fd2f516aefde0f2dc7547c01decf2e58542e2320da8e647ce58846ada9,F,F-18,scenario_support,,graph,strong,
R00000065,307f2a6a6261a2c4feb145560e881e3cb8ef0f1988f984dee79b6776836be62b,A,,background,weak,,none,
R00000066,6480c7fbbcb240ca59a783a1ecfa8a6d72dc5bce775d9108706bc79066039774,F,F-14,scenario_support,,graph,strong,
R00000067,74f9848b6cfa86a266af13e76dac1e95b38ca0db5feeb728fa0e4a2b18a7facf,F,F-11,scenario_support,,graph,strong,
R00000068,f5370d7ec59b3a75ee79fd2eef4c4d96bf5bad940a0146c070d1cad275ac1ac0,F,F-18,scenario_support,,graph,strong,
R00000069,d3bb9fb36db1d59df7efeab9e409eb49512fbf6278d1cc544899e9d62e7b9135,A,,background,weak,,none,
R00000070,7cce2eb251c05547c56072c8342231f3f9682974b1a141bca17577315132ff96,A,,background,weak,,none,
R00000071,900ee6e4e1a82d7bd96d671fa15e7f4974ccd1d360a098068acdc530ee88f1a4,A,,background,weak,,none,
R00000072,126682d4fadf32782c1b92a7ba64e1e2a7970de0e67a09510b069bbc42a2d53b,F,F-18,scenario_support,,graph,strong,
R00000073,4b406fdff425d98437c43985abb95e49f2fec33b3ad84dd0decfee8746652a34,F,F-11,scenario_support,,graph,strong,
R00000074,47f112fb9ae8caea3c18ca197f168ae1d14d4446050baa3e53aad0bbcfe07613,F,F-14,scenario_support,,graph,strong,
R00000075,d71b80a36b1212ba9ab5413cafa4ba6aa59ff8e05420879dbe8a60d09d25af22,A,,background,weak,,none,
R00000076,58f47659736cc72c8501c862160a2706032f6bfda659701695d998dd0f32d249,A,,background,weak,,none,
R00000077,c959dd5aa1e6c4a6bb75f054a08f32b911b789ff60f1a79dc6a112346fe579c4,F,F-11,scenario_support,,graph,strong,
R00000078,823f43dbffb70863728807bd9786da3ce478e615f3b519d31068430b7095ead4,F,F-18,scenario_support,,graph,strong,
R00000079,ac1c0b332fbebe4ecf3c570676f8bd7a0fa1fd88855a0f113f1b5da1f7122d8d,F,F-14,scenario_support,,graph,strong,
R00000080,0f6ebb2b497990845794bc448340b260bc294daf06cdc8fbc755df90daab3c9f,A,,background,weak,,none,
R00000081,a569d40f740a1f15affb8404f73bb3c632b32ffc55f5047f623cfbf5c6e6f16d,F,F-18,scenario_support,,graph,strong,
R00000082,fdb6f4c05cc1e2b17629fb9ef3f5a6f7971eee2f86fa1cdedcd0ad9d20799610,F,F-14,scenario_support,,graph,strong,
R00000083,8fb88a05e07860983fd873b9cd6e4845e88b8c401cff014bf35921819c83d013,F,F-11,scenario_support,,graph,strong,
R00000084,123924be7ead6faf51463dca3900abbf85f0e584ae15260fdd677b493b901d7f,A,,background,weak,,none,
R00000085,e9abd45b9d60098eea795ec580713f355d4671fe071f0280dafd88bfd39aa950,A,,background,weak,,none,
R00000086,71593976c44e556623ef6e2338a5340b6987f02d25a313fefb82b0108b6bb953,F,F-18,scenario_support,,graph,strong,
R00000087,98e7e4c9d6f0bd57ae1156fb766507e9c3d8e45ccb09c300f4f63caf6fb3dacd,F,F-11,scenario_support,,graph,strong,
R00000088,0c641edb97bd93d22a81ef89d88e67e34a8dc8f48c6be813f22d54820ddfa07b,F,F-14,scenario_support,,graph,strong,
R00000089,b69f0c759cca2b63e8401ec4d0af9173838cb920153aedd6e02d78ea60d69b9b,A,,background,weak,,none,
R00000090,1a6692dbec599c94b04907ec167e0264f7b1964dd8fe577654f3fc7056c6bd7a,A,,background,weak,,none,
R00000091,0ae0aeb6808fb01edc1f268a409619d36378997d8a8f4910c727f9e49c671c1d,F,F-18,scenario_support,,graph,strong,
R00000092,1779674cfaf38f904b13715d36f238dca68e4277c2878d0737bfb7b745e71ed2,F,F-11,scenario_support,,graph,strong,
R00000093,d7ec91327dff64c615ba3edce2da91d619a1c557c835095dd51aff60efaa9ccc,F,F-14,scenario_support,,graph,strong,
R00000094,67e133b54aea50f89e84a25888370f9ad85232d7c84e4a87a8ae4df4d575b9c2,A,,background,weak,,none,
R00000095,dd6abef2cb66f1665d444875e47abe1e1345e9d2bcaf4e2de1b5aa573a7c2287,F,F-11,scenario_support,,graph,strong,
R00000096,3c1f6b2b4cfa62292ab79d8af98a92278655d0b898f291544b3356e2f2294f07,F,F-14,scenario_support,,graph,strong,
R00000097,d3f8dbb54c836950432599be6627391a8ce258d7f5246492beac5a26ed65a9cb,F,F-18,scenario_support,,graph,strong,
R00000098,f9a2ab2d2e96b31a652677a37b4ba9e4eeb80c8075261290294f67f196e94a91,A,,background,weak,,none,
R00000099,2247cb5743459cb993e5b319cf01097386e59aeed4622962316f1591a5958fea,A,,background,weak,,none,
R00000100,e6b2bf06c981e2a9fef9bb1d1d57fa903138545db80580d206220fd586569210,A,,background,weak,,none,
R00000101,6097f850b643252a3a8dfe552d5612662f92758921a0a2915b0bbf64a4fb8050,A,,background,weak,,none,
R00000102,f0b5a2bde980397393d92acb80e40b8c7b99f36aed552dff9f5f6af8653f7ab6,F,F-14,scenario_support,,graph,strong,
R00000103,42bacbea94b9cb54c86a3fc8f536176bc5c9f9c34bff8646db0c5ba5ec57d8aa,F,F-18,scenario_support,,graph,strong,
R00000104,eb27fd0a853f461aaa368bd8f9802f5bba1fe367a3e35d808a069fbddfa68fbb,F,F-11,scenario_support,,graph,strong,
R00000105,b4c62715e2529d3c145f4256ecee2e67b6b448b43b9a9534a64a75a3dc5a06cd,F,F-18,scenario_support,,graph,strong,
R00000106,c675aa427fc82a2e43cdb41002cf21f28f22608d4ac2917ddb44c8276a73f371,F,F-11,scenario_support,,graph,strong,
R00000107,830dbd4a2fbff3ad79577c2942cbd1adb1e7011d12a344e2cf1132f9c6ecdeff,F,F-14,scenario_support,,graph,strong,
R00000108,302fca6d69dc6e6e80e881707b5d87923ab8eeb58f65363d5afa086d5bc59457,F,F-11,scenario_support,,graph,strong,
R00000109,0e9c9fcb234f833006e11dd544b541e53222591cdbbe004ebe10ab9d8f81b1fe,F,F-14,scenario_support,,graph,strong,
R00000110,da94aa88fa03051f1f97f80a4b9511afda43ddcfaa2c206b65ac45b59eec6823,F,F-18,scenario_support,,graph,strong,
R00000111,36a93874894adc66a1cf0e6d9852b62d48b6fa157431bfe38783dde2996bbbe7,F,F-14,scenario_support,,graph,strong,
R00000112,a5b01f64a6ddfd3c0b527b68407ce98e3c5d35ea5d19b9b8bab26d37552488be,F,F-11,scenario_support,,graph,strong,
R00000113,35dad60edcef849d1133e79bb9f48931b63ddc64570655f3e3e9e4b9adce4c75,F,F-18,scenario_support,,graph,strong,
R00000114,8e7b662b94af26883bc743f03777293a70a0761ffa239d15390182552c0d772c,F,F-18,scenario_support,,graph,strong,
R00000115,51519ac45f885112e9081cdd1e920d52756ac0630b442eeb3c23538886bf3335,F,F-11,scenario_support,,graph,strong,
R00000116,445874fc26f127f557f85594d9594f52d22762ca172cff8964d6e4db4cf5fc3e,A,,background,weak,,none,
R00000117,8dbd2b02d52033562f0a162bbc437a19b92ac3b2ff9f94b780f12db86c7ca3c5,F,F-14,scenario_support,,graph,strong,
R00000118,2640afb247a2e9b5ec9e605666ed39213e0c38f72dcd088ff9493a8b1e0992ce,A,,background,weak,,none,
R00000119,0256fdcbe0d526fd86978b93d679910ae756252f9bd29d22997136a7e418d302,A,,background,weak,,none,
R00000120,2101b2c9daa212924c17f6b559177078f7a9b61ed8250db5c0a5e000031bc84c,A,,background,weak,,none,
R00000121,9c41d4c776d01c1904ee6e904e0d4223c146bf5c7bb295367f422f3d3e404058,F,F-11,scenario_support,,graph,strong,
R00000122,f8e7d58594a520177fdac3a25d36120302a2741cbff6c9f4248acff359e5fa92,F,F-14,scenario_support,,graph,strong,
R00000123,6b36efdd08f9d0920bc91b13b19b0cc6bfca653f373972ac161d7e96e4f261f0,F,F-18,scenario_support,,graph,strong,
R00000124,bdec17f20e1caf56eb7b6911d7d5d566cba00b37702513fedae477757b8e9da5,A,,background,weak,,none,
R00000125,bdec17f20e1caf56eb7b6911d7d5d566cba00b37702513fedae477757b8e9da5,A,,background,weak,,none,
R00000126,54b1adeaa1fc7224d6bff9bb43b4558969bd3ca605fb74f0790540060141e768,A,,background,weak,,none,
R00000127,198b2123900ae726909b7bbe81dc7d0540c20ae8b94bef77467a16b46aa4064c,A,,background,weak,,none,
R00000128,ee0f706bbe07496c710338ee9f7772887bd475f4df26cb3bdfde48372232758f,F,F-18,scenario_support,,graph,strong,
R00000129,8fc490b1847aa14bce7bed88c888d099b7e1b913014f8988071f49cf103c4f85,F,F-14,scenario_support,,graph,strong,
R00000130,4a4638ffd97f9add1be3b148f5eabe8631782a2b62b84052c12b41fa8474b132,F,F-11,scenario_support,,graph,strong,
R00000131,f7b6b40ef434633573f1e24a827c6dddc42bf0c26311e0846fdb143dd51ea9bc,F,F-11,scenario_support,,graph,strong,
R00000132,59906d550122df729057464bec565a632fa5f2e8593026545df39387e07fb82c,F,F-18,scenario_support,,graph,strong,
R00000133,72256c5e6fbccf4d75aba1e85519b6472d060fe4672054c0c5f9bf32b273f503,F,F-14,scenario_support,,graph,strong,
R00000134,0690c472361635a08a793acc2998b934c13c141a925e1dd7048d50cedbdadf86,A,,background,weak,,none,
R00000135,dc571ce1072ebe02fd60d1d66cc59c153fbc5c9ac334acd8cb1439ad000bd241,F,F-11,scenario_support,,graph,strong,
R00000136,0f46f60d467ea6a8251bee618857d498ae67ed66c191931cafd34a28d3736c56,F,F-18,scenario_support,,graph,strong,
R00000137,7e2185790dd2563043f42b266bd5e1128653cc28ae557188489b43d166a714f5,F,F-14,scenario_support,,graph,strong,
R00000138,ce92915fd34e8c6ec729c573470986bf703a20ef5e2b8c648346393fe71c262e,A,,background,weak,,none,
R00000139,5192b115ddcdfd0a534eeb0161a36bd593fc7b04fb532c27118f886fe0401b13,F,F-18,scenario_support,,graph,strong,
R00000140,6a62896dc3e3daa3b75c6828d807808675be5581c14f459a94e589b9fba15c8f,F,F-14,scenario_support,,graph,strong,
R00000141,79803fa9bae0694effbbdc006370311a91d08b0decc77af34409efdca779e0e4,F,F-11,scenario_support,,graph,strong,
R00000142,c1a85cf21db77f8d9fc018c58e8dfc02ddd0990615e4f2bfb57d04725d38c15d,A,,background,weak,,none,
R00000143,fbc1013c76489b75ac06e263181eccac5508143133f90f1589a5998d248f20fb,F,F-18,scenario_support,,graph,strong,
R00000144,846baf2d2f05344cd1fcc38058c17ebbd21b882f6c3fe0f2bba7e512fab93c3b,F,F-14,scenario_support,,graph,strong,
R00000145,b7d0f5045a04ac5a094dff8ca9474739ab7dfe076a8d1a31cc646aee0fd54077,F,F-11,scenario_support,,graph,strong,
R00000146,5d24183e200c43b5c80d76409353a97d98be658ee7af4610306835b17a777f76,A,,background,weak,,none,
R00000147,8ad822209e2b4e3159e0e6c05dd3f1a7517325ce8fd2d8061ba9a965a170e701,F,F-11,scenario_support,,graph,strong,
R00000148,8d85e113c1b5f4e2775de6089696860d92774dc5c12f3cfdb42845a268393f66,F,F-18,scenario_support,,graph,strong,
R00000149,7e33b560435abb4d351ebbd72509ed96a430f904977a5e6a44f14a9ab3c99f2a,F,F-14,scenario_support,,graph,strong,
R00000150,8f5adaf6e28623c8e2d0107bf4662f747022cdd9f17de7cbbd916aa07fa060a5,A,,background,weak,,none,
R00000151,10c6e7a75d540d839d7dd079e6524edf000419126de5c4a5656de1efab1ffcfb,F,F-18,scenario_support,,graph,strong,
R00000152,1dd2b5b404d72552939069a8f10894293fdf102c45353e5c8807956028aa9110,A,,background,weak,,none,
R00000153,5091c34d9d4447f92cc695c82390646ce39b1959c0faecae5d6b8ed332d8ea08,F,F-11,scenario_support,,graph,strong,
R00000154,7bfcf10e713318a5e7125cd5d256d9bfd5fc6ec07f379b54b9ecc0bd57a9854d,F,F-14,scenario_support,,graph,strong,
R00000155,06f3ed3fc4769553adc3a0a7fd7ba405716d9d3b28db3379362eaa9515b681ff,A,,background,weak,,none,
R00000156,06f3ed3fc4769553adc3a0a7fd7ba405716d9d3b28db3379362eaa9515b681ff,A,,background,weak,,none,
R00000157,588d73f2600ab0228e05bbbbc7c91d2f9c9531ecd37685e091c4c958ad48e465,F,F-11,scenario_support,,graph,strong,
R00000158,6519b2e2e0ecb908a22a744b13b65aae16e54c12037e6e3ab93afab12d68ba4d,F,F-14,scenario_support,,graph,strong,
R00000159,703f6deb2acf01ed7b29a0aa8423f6627f53832b7893f5494e01814d2b2ca18e,F,F-18,scenario_support,,graph,strong,
R00000160,0ba858c518e84fd10e2c6d2296431dd3e324e815df7f633ed267fce7b2a5327b,A,,background,weak,,none,
R00000161,4ebf8f2ee0144f4bc6a324777c7c23cfbb8980809ab99ee70662dd33fb4ee691,F,F-11,scenario_support,,graph,strong,
R00000162,2ac48f3b5fe4a0ce5868c94c9fdfbb8e8658c55f385ec0c776b5e37d5241721e,F,F-14,scenario_support,,graph,strong,
R00000163,bbd0a9d9ebef9ae5bf6e982294f885c3c01eb56db57be259456c2b70b7ee2ba0,F,F-18,scenario_support,,graph,strong,
R00000164,97f603bebf5336d2d940f98f4efccf682cd7ed2e0e4533ca0248960dc3c7d266,F,F-11,scenario_support,,graph,strong,
R00000165,5a6a1c1e1b0b7eb6f8677cd4def67133c6ffed1b5914a91b033863cb32ed4739,F,F-14,scenario_support,,graph,strong,
R00000166,c5ccd1617586950785a83957c8f1086c1bec43144346b20bb53d93a06dda20d7,F,F-18,scenario_support,,graph,strong,
R00000167,11aba8499c3f9c6054b44a4bc7dcca86fec2314e2cbd2f8c263cefd0430f9ba7,A,,background,weak,,none,
R00000168,01ab14c59b7fe8a0a5e1833c3d2c1842eed53f00ff391755089a8041af595a50,F,F-14,scenario_support,,graph,strong,
R00000169,f830b631f5e38770c23276e1dfc4c8a109f51ed61140e183140570d860c2ecf5,A,,background,weak,,none,
R00000170,8f8592a14d42095c35c74e6d29687ed5500c6886102294ca93f7e71b0c80719a,F,F-18,scenario_support,,graph,strong,
R00000171,b4fa72737d53a6aca93d5dcb30281505a51c1b22339cff14a37f966e09e44c67,F,F-11,scenario_support,,graph,strong,
R00000172,de727b85634e60573a065163c3ab3d7dbaf937feb95b5b03647165b47b3a266c,A,,background,weak,,none,
R00000173,8fc5f7e93ca658ab22c37595cb96f8743328c5ec01e69a1ec5eea5852524343b,F,F-14,scenario_support,,graph,strong,
R00000174,7d5ca25a4e85afd8c42e850b7ed989519777366d84d7d7e8886721fbed7a9a5b,A,,background,weak,,none,
R00000175,543e7310c6c39d3a4b890afdae41ac94778ca7662ed7ff162b37a3db1a7ee8f3,A,,background,weak,,none,
R00000176,b86b7af210b5d1a84245a1e68388f7abb8efa13104ff2d4139ef125717354d11,F,F-11,scenario_support,,graph,strong,
R00000177,665b053017052ead2d24ab1dedd2ed384ca411d73f340f88c1a2676ab03c0b8d,F,F-18,scenario_support,,graph,strong,
R00000178,6dafb631915a3edcd9289d7e94a1276688a069663990888d4ca5a2418aa84398,A,,background,weak,,none,
R00000179,43d10e551127db9534afd678281de2a2a09d65ffc51378b655cd8224779834bc,F,F-18,scenario_support,,graph,strong,
R00000180,9467a0b1b1a212d8bc898bc7d237b919c684c00ae2ee4cd43d265273de72c9da,F,F-11,scenario_support,,graph,strong,
R00000181,3c064cd12dfe6227994a29d045db03639329943b7ac84fcbb546db54e8484677,F,F-14,scenario_support,,graph,strong,
R00000182,926f23ba9202d6b44e9602d32e6d218d2f5ceb334e362b22f76e06266740d743,F,F-11,scenario_support,,graph,strong,
R00000183,01dc3c153285b7b346017e09c6b0a30eba1702bfedf9aeb0fe19483c873a77fa,F,F-14,scenario_support,,graph,strong,
R00000184,65f6d6e3060298ec5ec12d306ebc7b78012e7d610bb7f33b26676fa9296fa54b,F,F-18,scenario_support,,graph,strong,
R00000185,d57a8c0c5d52233c8d4a7147446289edc633ddefb4952260d7bc6d12056e5eaa,A,,background,weak,,none,
R00000186,2b7a3e3606b55fd0e620f07b66ed5a46b79f805241dc7cd1cd0c789c941baaa1,F,F-11,scenario_support,,graph,strong,
R00000187,efc789e5075091e1b30924cfc44959bbe42ef177f1b052734f249a8a675d1524,F,F-14,scenario_support,,graph,strong,
R00000188,c2c18902331b053ce1d04f65c5436821f5256dffbf82cc8ab2b05499a8178a5e,F,F-18,scenario_support,,graph,strong,
R00000189,aba5c3263a59eb3b928cf6695cfa2ba6fc907a09f5d8ffed93114fe19e80fc2f,F,F-14,scenario_support,,graph,strong,
R00000190,883db8aa8070077258e1f2427fdd650ce6c432d64dd0c5e1f5d2635a6e45eaa2,F,F-11,scenario_support,,graph,strong,
R00000191,9ede326565189a55d02aae4e662ac263b9c962411df6ad39ce63d8c5e6e13c2e,F,F-18,scenario_support,,graph,strong,
R00000192,34e2d04670b2e62a77baedc40b364ec01f86b8abeba05faf211e0937811c20c0,A,,background,weak,,none,
R00000193,44d6f237227df7adcc575574dfb925edaaf813965fa0496e6cf9bcd305cd7edf,A,,background,weak,,none,
R00000194,7f68aeb4958d26eaa3f6f2b809e8bd706e528ed13f3d754bec89b878461bc720,F,F-11,scenario_support,,graph,strong,
R00000195,9e7097f67dfda5ed02718a23d2a6074860039478a3aa6b116f42cfcd5e24c06e,F,F-14,scenario_support,,graph,strong,
R00000196,f479e3a354c9051567f8e64ebdd015da839b78bde56623bb22f8d3a59f43b104,F,F-18,scenario_support,,graph,strong,
R00000197,9066d931810f933c4683b39f63ec749feb09e5bebb57b5493c213b15a09e3447,A,,background,weak,,none,
R00000198,04f075ffce06b4431e6269d52170a6377daefd783bb8e94e72e38f2533ba09aa,F,F-14,scenario_support,,graph,strong,
R00000199,c4a357e9ad8efd23dca424562d718d5e64d4956add3aaba65a598edc15cce6bf,F,F-11,scenario_support,,graph,strong,
R00000200,4d71405d958b8d101520ba7f7125a080eaa47c2305da4bc50462a1d4646ca501,F,F-18,scenario_support,,graph,strong,
R00000201,05f02659c635495edeefa2bab67bf4d11f6bfeb76ef921ed6a4377935a8020de,A,,background,weak,,none,
R00000202,b7a8b6d98adb6db8e40ec8f6a6fec2c3515bcfc7762a0c9c89c9d88d7c23bc8a,F,F-11,scenario_support,,graph,strong,
R00000203,0cfe53a3af8e360d06e496b7eb930e9093908cab28d04d82b70d2e1b2e1821f1,A,,background,weak,,none,
R00000204,1e8c608b91afbe1265e4b12795f29cd6c27d61e90e6901fc95c493c2f3e4ab91,F,F-18,scenario_support,,graph,strong,
R00000205,3bea6ed1ff02eb4ca4bc17fa8aeea1abe050d643cda4d314868057e80f7a89ca,F,F-14,scenario_support,,graph,strong,
R00000206,88b9cb2e2bdf23398ea5b31fe8644ceee7fb3c7af8e7501757649595698196a1,F,F-11,scenario_support,,graph,strong,
R00000207,9d25cbfe871a22b22a67896b5e64ac9dc5945ced46ba9b9f6a2f4a1aee15e3ac,F,F-14,scenario_support,,graph,strong,
R00000208,1556b949f03e182a132df6d52e94e396011611c2d3ab1c64a85ac957e0401845,F,F-18,scenario_support,,graph,strong,
R00000209,fabc38a139c0e73fa851ffce0163e2844f9769036e856b7e04fc616e74fa84ea,A,,background,weak,,none,
R00000210,a6dc4f6a7c26e6d06ed3976dd7c87a02824d746bf10047d769389bf0714ba76f,F,F-18,scenario_support,,graph,strong,
R00000211,19824a6d83ff12ac6697424885614977e0cc1b60ca4272f0cc03468c277105d6,F,F-14,scenario_support,,graph,strong,
R00000212,d50ad4365395b89ff4890dabfa9a46e906b65083d8c7be76d70e7e53c78fa1cd,F,F-11,scenario_support,,graph,strong,
